model,val_accuracy,val_macro_F1,fit_seconds
RBF SVM,0.8754365541327125,0.8735785778705779,3.470655679702759
Hist Gradient Boost,0.8684516880093132,0.8702297709404533,22.07216739654541
Logistic Regression,0.8509895227008148,0.8531682114178936,0.8582971096038818
Linear SVM,0.8486612339930152,0.8508844058180269,2.862055778503418
Random Forest,0.8183934807916181,0.8192816505216407,3.8363208770751953
Extra Trees,0.8160651920838184,0.8131618909019956,1.0204849243164062
k-NN (k=5),0.8090803259604191,0.8051825724225993,0.14490365982055664
